ID,Average Rating,Latitude,Longitude,Person Capacity,Price
1984737,4.74,42.38248,-71.13545,10,$179
25212486,5.0,42.38253,-71.13871,2,$75
8521,4.73,42.38258,-71.13646,5,$250
5857136,4.87,42.3849,-71.1304,4,$250
12038379,4.83,42.38577,-71.13065,4,$250
28282525,,42.38335,-71.13245,1,$170
50545567,,42.38409,-71.12049,2,$197
6947733,4.97,42.38321,-71.12094,1,$90
7573492,4.77,42.38456,-71.13277,2,$34
26473352,,42.38192,-71.1392,2,$80
108898,4.62,42.38227,-71.13643,4,$250
28832386,,42.3817,-71.13248,1,$190
49281855,,42.380177,-71.12072,4,$260
49281749,,42.380177,-71.12072,2,$211
49355363,,42.380043,-71.120476,4,$218
28050946,4.92,42.38372,-71.10939,2,$110
38822539,4.92,42.38101,-71.11977,4,$225
11656940,4.84,42.38339,-71.11603,3,$199
9832821,4.95,42.38555,-71.1177,4,$179
1066808,4.96,42.3807,-71.10906,5,$385
51487218,,42.38567,-71.11587,1,$110
33845740,4.81,42.38004,-71.10456,3,$135
13348656,4.4,42.38027,-71.1051,1,$37
45172060,4.94,42.381973,-71.109222,2,"$1,000"
38017421,4.67,42.38159,-71.10919,4,$250
25486999,4.88,42.38405,-71.10512,1,$125
4422473,,42.38497,-71.11113,3,$135
51786364,,42.38183,-71.11888,2,$180
4680929,4.97,42.38476,-71.11224,2,$80
4956321,4.94,42.38563,-71.11684,4,$185
51796881,,42.3854,-71.11527,7,"$1,250"
18600639,5.0,42.38387,-71.1145,9,"$1,650"
51488181,,42.38421,-71.11678,2,$118
48178816,,42.38459,-71.11584,2,$174
48178779,,42.38486,-71.11796,2,$185
15859528,,42.38052,-71.10525,1,$43
48178848,,42.38553,-71.11602,2,$190
8506744,4.84,42.38055,-71.1017,6,$282
39908320,,42.38448,-71.11637,2,$191
48178793,,42.38423,-71.11607,2,$184
48456676,,42.38479,-71.11608,4,$221
53574737,4.67,42.375156,-71.134804,4,$250
4244593,4.53,42.37626,-71.13399,1,$132
16361055,4.93,42.37506,-71.12506,4,$298
15788977,4.77,42.37858,-71.12297,2,$159
53696242,,42.37529,-71.13084,4,$240
49831652,,42.37496,-71.12177,2,$51
3234995,4.93,42.37896,-71.12489,2,$300
49281654,,42.37577,-71.12293,2,$253
49281729,,42.37553,-71.12136,4,$326
52090247,,42.37508,-71.12306,2,$50
46108993,4.88,42.37468,-71.12211,4,$168
25691658,,42.37904,-71.12007,4,$264
5666988,4.97,42.37456,-71.1334,5,$440
22377492,,42.37565,-71.13135,2,$250
48268174,,42.3748,-71.12245,3,$299
48285207,,42.37437,-71.12203,5,$130
4958294,4.56,42.37931,-71.12179,2,$179
29308635,4.83,42.37589,-71.12674,2,$275
49281641,,42.3754,-71.12173,2,$204
49812607,,42.37536,-71.12126,2,$54
46345380,4.67,42.3747,-71.12225,5,$111
46574531,,42.37477,-71.12371,3,$185
46820093,,42.37475,-71.12256,5,$260
